"method","mis_type","rho","n","convergence_rate","MSPE_mean","MSPE_MCSE","beta_MSE_mean","beta_MSE_MCSE","beta_SSE_mean","beta_SSE_MCSE","intercept_MSE_mean","intercept_MSE_MCSE","Var_a_hat_mean","Var_a_hat_MCSE","Var_b_hat_mean","Var_b_hat_MCSE","Var_e_hat_mean","Var_e_hat_MCSE","Var_a_MSE_mean","Var_a_MSE_MCSE","Var_b_MSE_mean","Var_b_MSE_MCSE","Var_e_MSE_mean","Var_e_MSE_MCSE","G_MSE_mean","G_MSE_MCSE","selected_K_mean","selected_K_MCSE","runtime_mean","runtime_MCSE","iterations_mean","iterations_MCSE","group_ARI_mean","group_ARI_MCSE","case","R_setting","Var_a_setting","file","model"
"OBS","contam",0.25,50,1,9.97266089317403,0.054670350455052,0.00125412121834794,3.38022663370475e-05,0.0627060609173972,0.00169011331685238,0.117667056578651,0.025273889755347,1.19525629738684,0.0577220360693017,NA,NA,9.88328193155317,0.0472819790740775,1.27574411715341,0.101033433975686,NA,NA,0.88973066232122,0.0935442156342209,NA,NA,20,0,0.0446400000000722,0.00167983478289683,5.14,0.0700437181264644,0.569457397804223,0.000945251283675142,7,20,2.25,"RI_case7_R20_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.285602139051,0.032853225405903,0.00124689471832131,3.19570013043803e-05,0.0623447359160653,0.00159785006521901,0.0130458446673097,0.00295617826569888,0.268973747677949,0.0100811870909905,NA,NA,9.15547207274543,0.0186736481992703,0.0583530155869859,0.00449828113504709,NA,NA,0.0412581171201956,0.00714398885707124,NA,NA,50,0,0.0975799999991432,0.0044175059914384,12.46,0.304000537056454,0.565009465732287,0.000990438950699169,7,50,0.5,"RI_case7_R50_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.31089773842148,0.0370198939144143,0.00205256570314856,6.41624998443371e-05,0.102628285157428,0.00320812499221686,0.0546300733434507,0.0137061634287227,0.232096650503792,0.0143076978684886,NA,NA,9.14196291580042,0.0199771212754005,0.0818030053677891,0.00699249600146879,NA,NA,0.039708652810708,0.0071284306640352,NA,NA,10,0,0.0525200000000865,0.00179642274920555,6.7,0.196396101212393,0.574747545000269,0.00158701924397907,8,10,0.5,"RI_case8_R10_vara0.5_contam_rho25.rds","RI"
"CPF","contam",0.25,50,1,9.97599612532517,0.0696288045204075,0.00220192582104162,6.4440971732508e-05,0.110096291052081,0.0032220485866254,0.223631324566458,0.0580168396574242,1.07459748193524,0.06378883049968,NA,NA,9.80682051207845,0.0593212308833246,1.58095280940231,0.138266960831959,NA,NA,0.82339075195265,0.110683878335981,NA,NA,9.42,0.0993447922897926,0.257779999999839,0.010431517783315,4.54,0.0956609659587612,0.563122089297481,0.00320232301900539,8,10,2.25,"RI_case8_R10_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.29671837970306,0.0357412045898781,0.00199493913814636,6.52284872740005e-05,0.0997469569073182,0.00326142436370003,0.0287238286067594,0.00609075818436546,0.26714830269841,0.0144980855881196,NA,NA,9.1609159048393,0.0181071460559492,0.0645194427365331,0.00566243534531614,NA,NA,0.0419594966065345,0.00660794760984336,NA,NA,20,0,0.0562799999996787,0.00113174598707855,7.98,0.1795459124956,0.569457397804223,0.000945251283675142,8,20,0.5,"RI_case8_R20_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,10.0181058523681,0.0561349733964249,0.00214300489028409,7.12158544164713e-05,0.107150244514204,0.00356079272082356,0.117421686766825,0.0249976485323687,1.19569179388951,0.0575679793598758,NA,NA,9.88269568546183,0.0467677413088332,1.27395533360329,0.100918584474098,NA,NA,0.886325532862293,0.0920419881797205,NA,NA,20,0,0.0385199999994074,0.000390959051404146,5.12,0.0678533833545024,0.569457397804223,0.000945251283675142,8,20,2.25,"RI_case8_R20_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.32817546121204,0.0362581870463034,0.00199323380486708,6.26220528506092e-05,0.0996616902433541,0.00313110264253046,0.0132857901066449,0.00298895584042637,0.269839535245433,0.0102463321284846,NA,NA,9.15861112016578,0.0189270207780359,0.0581182183183118,0.00447926580809923,NA,NA,0.0427108611013206,0.00729389460745462,NA,NA,50,0,0.0896199999994133,0.00224533802722622,12.42,0.306514307020347,0.565009465732287,0.000990438950699169,8,50,0.5,"RI_case8_R50_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,10.0808385983515,0.0480481842911374,0.00211796151746649,6.38105804023059e-05,0.105898075873325,0.0031905290201153,0.0496290413872757,0.0113839157402579,1.21114680084573,0.036660042485453,NA,NA,9.88856772265488,0.0376185782411748,1.1450699464298,0.0734397567850563,NA,NA,0.858895311759557,0.0731894027367733,NA,NA,50,0,0.0544200000012643,0.00108085000557216,6.4,0.0903507902905251,0.565009465732287,0.000990438950699169,8,50,2.25,"RI_case8_R50_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.29058989916577,0.0382720970404873,0.00124072142479942,2.99854012070772e-05,0.0620360712399709,0.00149927006035386,0.054630073343452,0.0137061634287231,0.232096650503792,0.0143076978684886,NA,NA,9.14196291580042,0.0199771212754005,0.0818030053677891,0.00699249600146879,NA,NA,0.039708652810708,0.00712843066403518,NA,NA,10,0,0.0644400000000501,0.00195983339564073,6.7,0.196396101212393,0.574747545000269,0.00158701924397907,9,10,0.5,"RI_case9_R10_vara0.5_contam_rho25.rds","RI"
"CPF","contam",0.25,50,1,9.957401141417,0.0710094200576375,0.00133304954570334,3.0791297571053e-05,0.0666524772851669,0.00153956487855265,0.223631324566454,0.0580168396574208,1.07459748193524,0.06378883049968,NA,NA,9.80682051207845,0.0593212308833246,1.58095280940231,0.138266960831959,NA,NA,0.823390751952649,0.110683878335981,NA,NA,9.42,0.0993447922897926,0.268800000000192,0.00948635970271871,4.54,0.0956609659587612,0.563122089297481,0.00320232301900539,9,10,2.25,"RI_case9_R10_vara2.25_contam_rho25.rds","RI"
