"method","mis_type","rho","n","convergence_rate","MSPE_mean","MSPE_MCSE","beta_MSE_mean","beta_MSE_MCSE","beta_SSE_mean","beta_SSE_MCSE","intercept_MSE_mean","intercept_MSE_MCSE","Var_a_hat_mean","Var_a_hat_MCSE","Var_b_hat_mean","Var_b_hat_MCSE","Var_e_hat_mean","Var_e_hat_MCSE","Var_a_MSE_mean","Var_a_MSE_MCSE","Var_b_MSE_mean","Var_b_MSE_MCSE","Var_e_MSE_mean","Var_e_MSE_MCSE","G_MSE_mean","G_MSE_MCSE","selected_K_mean","selected_K_MCSE","runtime_mean","runtime_MCSE","iterations_mean","iterations_MCSE","group_ARI_mean","group_ARI_MCSE","case","R_setting","Var_a_setting","file"
"KM","contam",0.25,50,1,9.50852258428351,0.0346554504038224,0.00367134703708209,0.000106580696591564,0.183567351854104,0.00532903482957821,0.0151994610187322,0.00295426633359171,0.000281154125958175,0.000131205793932917,NA,NA,9.42520905090023,0.0242559987793933,0.249719768454742,0.000130305819796093,NA,NA,0.209632057329982,0.0234776394069715,NA,NA,2,0,241.40092,5.57072854311662,22.64,1.30078783035199,-2.79458370165056e-05,2.5161393946191e-05,1,50,0.5,"RI_case1_R50_vara0.5_contam_rho25.rds"
"LM","contam",0.25,50,1,9.50849889581125,0.0346565974576858,0.00367178001975909,0.00010671767026785,0.183589000987954,0.00533588351339252,0.0151918788734834,0.00295489914072098,0,0,NA,NA,9.42518013757352,0.0242483261144839,0.25,0,NA,NA,0.209589234035397,0.0234661325219431,NA,NA,1,0,0.010559999999241,0.0003581813470559,1,0,NA,NA,1,50,0.5,"RI_case1_R50_vara0.5_contam_rho25.rds"
"OBS","contam",0.25,50,1,9.28248717865661,0.0325991367387524,0.00362034196489148,0.000101585961045853,0.181017098244574,0.00507929805229267,0.0129618556494836,0.00292131547435715,0.270528252844387,0.0102257472364369,NA,NA,9.15791691319119,0.0191524956557845,0.057781012163281,0.00445452996383652,NA,NA,0.0429118378742301,0.00727874990958579,NA,NA,50,0,0.11706000000122,0.00286233955950347,12.42,0.298417595366778,0.565009465732287,0.000990438950699169,1,50,0.5,"RI_case1_R50_vara0.5_contam_rho25.rds"
"ORACLE","contam",0.25,50,1,9.07470243051699,0.0317995411869531,0.00354658063511809,0.000103267581557598,0.177329031755905,0.00516337907787992,0.0109584076667445,0.00245768979370591,0.481036104591849,0.015838135223938,NA,NA,8.95176205299598,0.0167758426244297,0.0126511091702668,0.0026801916041534,NA,NA,0.0161169154233843,0.00260793294837267,NA,NA,50,0,0.09033999999956,0.00307917428631349,9.16,0.188138030093192,1,0,1,50,0.5,"RI_case1_R50_vara0.5_contam_rho25.rds"
"BLM","contam",0.25,50,1,10.0485923203665,0.0442228724703064,0.00391453960090292,0.000102695400966949,0.195726980045146,0.00513477004834744,0.127178602877611,0.017317554072126,2.07331396040733,0.0674915632488909,NA,NA,9.8465875670412,0.0377065689354297,0.254418400966115,0.0423353746715805,NA,NA,0.786377990371979,0.0705539255425337,NA,NA,10,0,0.0784000000008382,0.00438382928320018,5.04,0.110509026318936,0.177928757394788,0.00297990599546882,1,50,2.25,"RI_case1_R50_vara2.25_contam_rho25.rds"
"CIRG","contam",0.25,50,1,12.4252443084051,0.0963375505086763,0.00864289279813852,0.000257946829426153,0.432144639906926,0.0128973414713076,0.0705732610881412,0.0123358487761422,7.98279603366309,0.118666764358106,NA,NA,3.2695195003615,0.0940972761667923,33.5549586107812,1.4054845023604,NA,NA,33.2722673284555,1.05727687172451,NA,NA,3.36,0.184634221958897,159.96586,33.054538720887,3.66,0.0676726816132972,-2.65575754373852e-06,3.47086122003509e-05,1,50,2.25,"RI_case1_R50_vara2.25_contam_rho25.rds"
"CPF","contam",0.25,50,1,10.4833922320733,0.0568270616549973,0.00403122385250561,0.000111704525705257,0.20156119262528,0.00558522628526283,0.320332679222296,0.0824863495408554,2.59177043897495,0.154234407475136,NA,NA,10.343728179365,0.0491224717788733,1.28243140296824,0.462200008403455,NA,NA,1.92384326446931,0.144186140197005,NA,NA,6.92,0.299441657293118,1.27338000000018,0.0873164495336892,4.98,0.0605417717154774,0.0266771147741336,0.00311070150797903,1,50,2.25,"RI_case1_R50_vara2.25_contam_rho25.rds"
"KM","contam",0.25,50,1,11.1834379655086,0.0768419664788077,0.00426784746107831,0.000122399172235747,0.213392373053916,0.00611995861178737,0.0673561854743455,0.0134370049380658,0.000339580034320339,0.000174215670236982,NA,NA,11.0845217376704,0.0729258573138029,5.06097349236405,0.000782395456792866,NA,NA,4.60582172740319,0.32141571939536,NA,NA,2,0,210.586340000001,6.80698426501567,23.58,1.19389262156893,-2.79458370165056e-05,2.5161393946191e-05,1,50,2.25,"RI_case1_R50_vara2.25_contam_rho25.rds"
"LM","contam",0.25,50,1,11.183455371768,0.0768482099565784,0.00426913145924615,0.000122606869269394,0.213456572962308,0.00613034346346973,0.0673396769452519,0.0134390984710281,0,0,NA,NA,11.0845026896031,0.0729288967748531,5.0625,0,NA,NA,4.6057640382176,0.321407838002242,NA,NA,1,0,0.0183799999990151,0.00513816373156443,1,0,NA,NA,1,50,2.25,"RI_case1_R50_vara2.25_contam_rho25.rds"
"OBS","contam",0.25,50,1,10.0330576498669,0.0438949782771448,0.00390110418006557,0.000102194788231663,0.195055209003278,0.00510973941158315,0.0489650984468204,0.0112511177440606,1.21297759201756,0.03634781776402,NA,NA,9.88758381979921,0.037775808159354,1.14015250361181,0.0727808163249683,NA,NA,0.857728609591873,0.0737050371464934,NA,NA,50,0,0.0606199999983073,0.00261610241338555,6.4,0.0903507902905251,0.565009465732287,0.000990438950699169,1,50,2.25,"RI_case1_R50_vara2.25_contam_rho25.rds"
